Russian Cyrillic: Ь	ь<br>'<br>(Soft sign)
'<br>(Soft sign)	Russian Cyrillic: Ь<br>ь
Russian Cyrillic: Н	н<br>N
N	Russian Cyrillic: Н<br>н
Russian Cyrillic: Ж	ж<br>Zh
Zh	Russian Cyrillic: Ж<br>ж
Russian Cyrillic: Ю	ю<br>IU͡
IU͡	Russian Cyrillic: Ю<br>ю
Russian Cyrillic: Ш	ш<br>Sh
Sh	Russian Cyrillic: Ш<br>ш
Russian Cyrillic: Ц	ц<br>TS͡
TS͡	Russian Cyrillic: Ц<br>ц
Russian Cyrillic: Й	й<br>Ĭ
Ĭ	Russian Cyrillic: Й<br>й
Russian Cyrillic: А	а<br>A
A	Russian Cyrillic: А<br>а
Russian Cyrillic: Б	б<br>B
B	Russian Cyrillic: Б<br>б
Russian Cyrillic: В	в<br>V
V	Russian Cyrillic: В<br>в
Russian Cyrillic: Г	г<br>G
G	Russian Cyrillic: Г<br>г
Russian Cyrillic: Д	д<br>D
D	Russian Cyrillic: Д<br>д
Russian Cyrillic: Е	е<br>E
E	Russian Cyrillic: Е<br>е
Russian Cyrillic: Ё	ё<br>Ë
Ë	Russian Cyrillic: Ё<br>ё
Russian Cyrillic: З	з<br>Z
Z	Russian Cyrillic: З<br>з
Russian Cyrillic: И	и<br>I
I	Russian Cyrillic: И<br>и
Russian Cyrillic: К	к<br>K
K	Russian Cyrillic: К<br>к
Russian Cyrillic: Л	л<br>L
L	Russian Cyrillic: Л<br>л
Russian Cyrillic: М	м<br>M
M	Russian Cyrillic: М<br>м
Russian Cyrillic: О	о<br>O
O	Russian Cyrillic: О<br>о
Russian Cyrillic: П	п<br>P
P	Russian Cyrillic: П<br>п
Russian Cyrillic: Р	р<br>R
R	Russian Cyrillic: Р<br>р
Russian Cyrillic: С	с<br>S
S	Russian Cyrillic: С<br>с
Russian Cyrillic: Т	т<br>T
T	Russian Cyrillic: Т<br>т
Russian Cyrillic: У	у<br>U
U	Russian Cyrillic: У<br>у
Russian Cyrillic: Ф	ф<br>F
F	Russian Cyrillic: Ф<br>ф
Russian Cyrillic: Х	х<br>Kh
Kh	Russian Cyrillic: Х<br>х
Russian Cyrillic: Ч	ч<br>Ch
Ch	Russian Cyrillic: Ч<br>ч
Russian Cyrillic: Щ	щ<br>Shch
Shch	Russian Cyrillic: Щ<br>щ
Russian Cyrillic: Ъ	ъ<br>"<br> (Hard sign)
"<br> (Hard sign)	Russian Cyrillic: Ъ<br>ъ
Russian Cyrillic: Ы	ы<br>Y
Y	Russian Cyrillic: Ы<br>ы
Russian Cyrillic: Э	э<br>Ė
Ė	Russian Cyrillic: Э<br>э
Russian Cyrillic: Я	я<br>IA͡
